Designator,Footprint,Quantity,Value,LCSC Part #
"C1_2, C1, C4_2, C4, C5_2, C5",0603,6,100n,
"C10_2, C10",0603,2,10u,
"C2_2, C2, C3_2, C3, C8_2, C8",0603,6,1u,
"C6_2, C6, C7_2, C7",0603,4,4.7u,
"C9_2, C9",0603,2,0.1u,
"J1_2, J1",USB-C_SMD-TYPE-C-31-M-12,2,USB_C_Receptacle_USB2.0,
"L1_2, L1",0603,2,2.2uH,
"R1_2, R1, R11_2, R11, R14_2, R14, R16_2, R16, R2_2, R2, R4_2, R4, R5_2, R5, R9_2, R9",0603,16,5k1,
"R10_2, R10, R7_2, R7",0603,4,4k7,
"R12_2, R12, R13_2, R13, R6_2, R6, R8_2, R8",0603,8,220,
"R15_2, R15",0603,2,10k,
"R17_2, R17",0603,2,680R,
"R18_2, R18",0603,2,680k,
"R19_2, R19",0603,2,150k,
"R20_2, R20",0603,2,0.1R,
"R21_2, R21, R22_2, R22, R3_2, R3",0603,6,3k,
"U1_2, U1, U13_2, U13",LED-SMD_FM-3510RGBA-SG,4,FM-3510RGBA-SG,C727903
"U10_2, U10",SOT-23-5,2,M3406,C83224
"U11_2, U11",SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,2,INA219AIDR,C138706
"U12_2, U12",CONN-TH_1.25T-2AW,2,1_25T-2AW_C722634,C722634
"U2_2, U2, U3_2, U3",KEY-SMD_B3U-3000P,4,B3U-3000P,C963349
"U4_2, U4",XCVR_ESP32-C3-MINI-1-N4,2,ESP32-C3-MINI-1-N4,
"U5_2, U5",AUDIO-TH_ST-0277D00-052-142,2,ST-0277D00-052-142,C2837093
"U6_2, U6",Bosch_LGA-14_3x2.5mm_P0.5mm,2,BMI270,
"U7_2, U7, U8_2, U8",SOT-363_SC-70-6,4,SMF05CT1G,
"U9_2, U9",SOT95P280X145-6N,2,BQ21040DBVR,
